Building Type,2024 EUI,2024 GUI,Chilled Water System Efficiency (kW/RT),Air-side Efficiency (kW/RT)
Mixed development,148.8823349,0,0,0
Office,129.455783,0,0.65,0
Office,99.00897182,0,0.613,0.249
Inst. of higher learning (IHL),62.7054343,0,0.7,0
Retail,515.4068574,207.3785886,0,0
Retail,622.5394592,206.0951566,0,0
Retail,821.4991434,150.2722831,0.7,0
Retail,721.4564589,143.2892879,0.65,0.261
Sports & Recreation,288.6455886,138.6341961,0,0
Mixed development,181.2994429,132.7493085,0,0
Retail,444.0900123,132.2027871,0.58,0
Retail,535.3269732,131.7594366,0,0
Retail,664.3310276,129.0261768,0,0
Retail,404.1926063,127.6347247,0.8,0
Retail,649.6446187,126.6687312,0.6,0.5
Retail,499.5520839,122.7391156,0,0
Sports & Recreation,427.206057,119.7589368,0.6,0
Retail,843.9292489,116.8377237,1.2,0
Retail,466.6350533,110.3224689,0,0
Civic, community & cultural inst.,159.0896114,108.796634,0,0
Retail,546.8902156,108.7609757,0.581,0.2
Hotel,444.1782503,107.1288344,0,0
Retail,538.5564621,106.6237274,0.667,0
Retail,631.9111537,102.7292449,0,0
Sports & Recreation,276.193222,100.5433013,0,0
Retail,585.4585965,99.44513363,0.642,0.28
Retail,613.5098996,98.69465198,0.6656,0.2568
Mixed development,700.5072927,96.03785966,0.8,0.29
Retail,527.3098153,95.30544003,0.727,0
Retail,644.3376956,94.59283013,0.63,0.3
Sports & Recreation,437.2668731,94.19521866,1.061,0.196
Mixed development,285.6849196,94.00317836,0,0
Retail,502.0052691,92.46371237,0.71,0.25
Retail,500.3526912,91.56419162,0.638,0.25
Retail,479.6102262,90.1605826,0.614,0.298
Retail,501.3794759,85.50683909,0.731,0.271
Retail,525.965699,85.32256579,0.59,0
Retail,587.8409797,84.98134954,0,0
Retail,779.6500788,83.11353109,0.48,0.84
Retail,498.8881818,80.72147177,0.67,0.2236
Retail,453.830648,80.22646034,0.6,1.2
Mixed development,323.0541265,79.97986137,0.6105,0.24
Retail,542.4942829,79.05194381,0.636,0.181
Hotel,256.0435837,78.74877147,0.6,0.516
Retail,376.8590525,78.20878261,1,0.4
Hotel,376.5672606,77.72864744,0.6,0
Mixed development,394.2432944,76.83788513,0.8,0
Mixed development,283.7199052,76.44530499,0,0
Sports & Recreation,306.1207801,74.9045961,1.101,0.25
Retail,437.4462725,74.10070167,0.866,0.175
Hotel,187.7649677,73.31018086,0.262,0.691
Retail,433.5919355,73.0634753,0.717,0.15
Retail,402.8180946,72.78312281,0,0
Sports & Recreation,226.1604372,72.42848646,0,0
Retail,570.1174316,71.99799372,0.65,0.334
Retail,393.8547876,71.95980426,0,0
Retail,478.5057757,71.83652581,0.59,0
Retail,510.6710773,70.88214838,0.6144,0
Retail,475.4963374,69.53908583,0.618,0
Retail,377.5287561,69.43239219,0.673,0
Sports & Recreation,473.6648126,68.8918476,0.603657,0
Retail,472.089136,68.87507271,0.601,0.274
Retail,710.3078956,67.10493477,0,0
Retail,297.1353388,66.1035757,1.05,0.57
Mixed development,396.6581652,64.37475883,0.65,0.32
Sports & Recreation,303.9065236,63.82847202,0.75,0
Retail,322.3998757,63.74943947,0.586,0.2436
Nursing home,143.9945894,63.24105316,0,0
Retail,510.4721815,63.15148464,0.629,0
Sports & Recreation,1030.076827,62.62237654,0,0
Retail,684.6029412,62.11231618,0.74,0
Mixed development,563.3854904,61.69862407,0.6,0
Mixed development,251.0029719,61.24032677,0.6,0
Retail,480.8720408,60.83990071,0.725,0
Sports & Recreation,349.1132767,60.25240175,0,0
Retail,658.8337144,60.12172508,0.63,0
Hotel,129.2072416,59.85071559,0.65,0
Retail,678.8640338,59.60737918,1.65,0
Retail,353.2322063,59.48212034,0.542,0.248
Hotel,270.1055649,59.06287828,0,0
Mixed development,384.9948065,58.92714516,0.7,0.422
Mixed development,287.9478854,58.92714353,0,0
Hotel,235.621491,57.86110313,0,0
Nursing home,99.50889643,57.81803571,0,0
Retail,213.6785597,57.76124537,0.667,1.19
Retail,469.8799639,56.78879855,0,0
Mixed development,418.4446337,56.37905255,0.636,0.181
Retail,500.5766945,56.29263636,0.59,0.192
Retail,58.10233273,56.01288787,0.56,0.135
Hotel,341.3598437,55.78777262,0.568,0.031
Mixed development,235.5414973,55.03806284,0,0
Hotel,231.5733203,54.87031549,0.68,1
Mixed development,344.0928609,54.68838021,0.8,0.24
Mixed development,371.1080211,54.61113509,0.8237,0.256
Sports & Recreation,240.926494,54.39443692,0.75,0
Retail,371.3302044,53.87458077,0.65,0
Mixed development,258.2968932,52.39036553,0.621,0
Mixed development,319.098538,52.37237335,0,0
Nursing home,140.2690865,52.33801802,0,0
Hotel,409.8914774,51.32426446,0.3,0
Mixed development,264.5430135,51.06904332,0,0
Nursing home,92.12308413,50.63749394,0,0
Hotel,213.4446228,50.27038226,0.63,0
Retail,375.7479825,50.15103235,0.65,0.24
Nursing home,90.59193277,50.03235294,0,0
Mixed development,499.075117,49.30167519,0.697,1.3
Retail,525.0432004,48.6518785,0.643,0.209
Retail,558.3269507,48.36820993,0.6,0.29
Retail,267.5870585,48.35598106,0.65,0
Nursing home,103.982925,47.80695114,0,0
Retail,455.3512774,47.66256317,0.68,0
Retail,571.0963683,47.5622947,0.839,0
Mixed development,623.558304,47.4845704,0.613,0.27
Mixed development,263.2496394,47.25497289,0.62,0.3
Mixed development,327.4184973,47.02365864,0.504,0.236
Retail,463.5793394,46.77077443,0.64,0.6
Civic, community & cultural inst.,104.7619076,46.61515864,0,0
Retail,535.7244849,46.5126568,0.74,1
Mixed development,381.3763661,46.42565176,0.55,0
Hotel,211.0240563,46.33659499,0.6,0.9
Retail,389.0544507,46.07775961,0.621,0.069
Retail,484.4302226,45.58199956,0.63,0.132
Mixed development,346.1883761,45.10609072,0.65,0
Mixed development,254.0474845,44.45665142,0.62,0.16
Retail,495.8961303,44.16899234,0.688,0.16
Retail,363.6735459,43.98155416,0,0
